roi_id,vel_min,vel_max,vel_mean,vel_std,vel_se,vel_cv,vel_n_nan,vel_n_zero,vel_n_big,img_min,img_max,img_mean,img_std,path,file_name,parent_folder,grandparent_folder,rel_path,accepted,treatment,condition,date,_unique_row_id
2,-3.352860450744629,3.3528590202331543,0.9007109563205355,0.4649221992471545,0.005562050297693337,0.516172470185544,510,577,100,35,1048,373.4011192982456,154.66769911304237,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0004.tif,20251015_A99_0004,20251015,14d Saline,14d Saline/20251015/20251015_A99_0004.tif,True,14d Saline,Control,20251015,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0004.tif|2
1,-1.7698862963933415,-0.7147495213051299,-1.2349603604050017,0.23813753458384448,0.0028639350561818176,-0.19283010387940547,583,0,42,34,1090,350.3574438596491,181.522458686443,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0005.tif,20251015_A99_0005,20251015,14d Saline,14d Saline/20251015/20251015_A99_0005.tif,True,14d Saline,Control,20251015,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0005.tif|1
2,-2.1681830883026123,0.107610248029232,-1.2572775478507332,0.28906728713532465,0.0033835084454100525,-0.22991525429645496,198,35,50,34,1090,350.3574438596491,181.522458686443,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0005.tif,20251015_A99_0005,20251015,14d Saline,14d Saline/20251015/20251015_A99_0005.tif,True,14d Saline,Control,20251015,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0005.tif|2
1,-1.6614347451335418,-0.7754930737007172,-1.199211035756947,0.1737200992908307,0.002081413340856328,-0.14486199185214957,531,0,167,33,842,276.4609571428571,118.89586430431959,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0006.tif,20251015_A99_0006,20251015,14d Saline,14d Saline/20251015/20251015_A99_0006.tif,True,14d Saline,Control,20251015,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0006.tif|1
2,-2.4330053329467773,0.9067118763923644,-1.2114922071040315,0.25072280187811374,0.002920717509390164,-0.20695370585787354,128,61,84,33,842,276.4609571428571,118.89586430431959,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0006.tif,20251015_A99_0006,20251015,14d Saline,14d Saline/20251015/20251015_A99_0006.tif,True,14d Saline,Control,20251015,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0006.tif|2
1,-2.5395502662279124,-1.3469121692372337,-2.0059360323961313,0.3042545043604309,0.003603484921607317,-0.15167707217313042,368,0,279,36,1583,428.1112909090909,212.58921946447654,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0007.tif,20251015_A99_0007,20251015,14d Saline,14d Saline/20251015/20251015_A99_0007.tif,True,14d Saline,Control,20251015,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0007.tif|1
2,-2.6557469367980957,0.2015928030014038,-1.9678138604117659,0.3880821679973381,0.004514720350139832,-0.1972148767750481,108,87,109,36,1583,428.1112909090909,212.58921946447654,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0007.tif,20251015_A99_0007,20251015,14d Saline,14d Saline/20251015/20251015_A99_0007.tif,True,14d Saline,Control,20251015,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0007.tif|2
1,2.2523362422609323,2.4415885736019045,2.354989223256189,0.06412526459547002,0.0019827288589096582,0.02722953632323018,6451,0,0,32,1324,477.1848684210526,219.3294303197103,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0008.tif,20251015_A99_0008,20251015,14d Saline,14d Saline/20251015/20251015_A99_0008.tif,True,14d Saline,Control,20251015,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0008.tif|1
2,-5870810.5,-5870810.5,-5870810.5,0.0,0.0,-0.0,1099,0,0,32,1324,477.1848684210526,219.3294303197103,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0008.tif,20251015_A99_0008,20251015,14d Saline,14d Saline/20251015/20251015_A99_0008.tif,True,14d Saline,Control,20251015,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0008.tif|2
1,1.5553523597412011,1.9185443616155733,1.7669698349025584,0.07204583074635457,0.0014511101895178962,0.04077366196255841,5032,0,147,33,1643,460.39910588235296,227.28913584101952,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0009.tif,20251015_A99_0009,20251015,14d Saline,14d Saline/20251015/20251015_A99_0009.tif,True,14d Saline,Control,20251015,/Users/cudmore/Dropbox/data/declan/2026/compare-condiitons/v2-analysis/14d Saline/20251015/20251015_A99_0009.tif|1
